fsa_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
433256,Students Union,"Harper Adams University, Edgmond, Newport, Shropshire",TF10 8NB,371403,320354,52.780012,-2.425395,Telford and Wrekin
433294,Talbot Inn,"Talbot Inn Gower Street, St Georges, Telford, Shropshire",TF2 9BL,370470,311422,52.699658,-2.438419,Telford and Wrekin
433316,Telford Naturist Club,"The Windings Grange Lane, Redhill, Telford, Shropshire",TF2 9PB,372137,311433,52.699848,-2.413751,Telford and Wrekin
433333,The Arleston Inn,"Arleston Inn Hotel Arleston Lane, Arleston, Telford, Shropshire",TF1 2LA,366943,310042,52.687049,-2.490469,Telford and Wrekin
433334,The Bacchus,"5 Church Street, Wellington, Telford, Shropshire",TF1 1DD,365007,311708,52.701905,-2.519287,Telford and Wrekin
433336,The Barley,"The Barley Public House High Street, Newport, Shropshire",TF10 7AQ,374613,319090,52.7688,-2.377723,Telford and Wrekin
433339,The Beacon,"The Beacon, 6 - 7 Market Square, Wellington, Telford, Shropshire",TF1 1BP,365039,311622,52.701143,-2.518815,Telford and Wrekin
433343,The Blue Pig,"The Blue Pig Capewell Road, Trench, Telford, Shropshire",TF2 6QQ,368767,312316,52.707608,-2.463703,Telford and Wrekin
433344,The Boat Inn,"The Boat Inn Ferry Road, Jackfield, Telford, Shropshire",TF8 7LS,369340,302508,52.619473,-2.454308,Telford and Wrekin
433347,The Brewery Inn,"The Brewery Inn High Street, Coalport, Telford, Shropshire",TF8 7HZ,369967,302243,52.617117,-2.445022,Telford and Wrekin
433356,The Clock Tower,"The Clock Tower Station Road, Donnington, Telford, Shropshire",TF2 8JY,370672,314192,52.72457,-2.435678,Telford and Wrekin
433357,The Compasses Inn,"The Compasses Inn, 72 Beveley Road, Oakengates, Telford, Shropshire",TF2 6SD,368562,310982,52.695595,-2.466609,Telford and Wrekin
433360,The Coracle Micropub,"27 High Street, Ironbridge, Telford, Shropshire",TF8 7AD,367359,303441,52.627726,-2.48366,Telford and Wrekin
433362,The Crown Inn,"The Crown Inn Market Street, Oakengates, Telford, Shropshire",TF2 6EA,369717,310935,52.695238,-2.449516,Telford and Wrekin
433366,The Duke Of York,"Tap And Barrel Trench Road, Trench, Telford, Shropshire",TF2 7DP,369461,313002,52.713814,-2.453496,Telford and Wrekin
433367,The Dun Cow,"The Dun Cow, 4 Duke Street, Wellington, Telford, Shropshire",TF1 1BJ,365043,311574,52.70071,-2.518739,Telford and Wrekin
433369,The Elizabethan,"The Elizabethan Park Lane, Woodside, Telford, Shropshire",TF7 5LJ,368118,304734,52.639404,-2.472572,Telford and Wrekin
433376,The Foresters Arms,"41 High Street, Madeley, Telford, Shropshire",TF7 5AS,370024,304478,52.637211,-2.444384,Telford and Wrekin
433377,The Foresters Arms,"The Foresters Arms Union Street, Hadley, Telford, Shropshire",TF1 5RG,367911,311982,52.704546,-2.476339,Telford and Wrekin
433384,The Grazing Cow,"The Grazing Cow Gresham Drive, Newdale, Telford, Shropshire",TF3 5ES,367718,308950,52.677281,-2.478896,Telford and Wrekin
433389,The Half Moon,"174 Salthouse Road, Jackfield, Telford, Shropshire",TF8 7LP,369042,302806,52.622126,-2.458737,Telford and Wrekin
433390,The Honeysuckle Inn,"The Honeysuckle Inn Beaumaris Road, Newport, Shropshire",TF10 7BN,374336,319041,52.768346,-2.38181,Telford and Wrekin
433391,The Horseshoes Inn,"The Horse Shoes Inn Holyhead Road, Ketley, Telford, Shropshire",TF1 5AE,367182,311070,52.696313,-2.487036,Telford and Wrekin
433395,The Huntsman Inn,"The Huntsman Inn Wellington Road, Little Wenlock, Telford, Shropshire",TF6 5BJ,364781,307044,52.659962,-2.52213,Telford and Wrekin
433403,The Lamb Inn,"The Lamb Inn Moss Road, Wrockwardine Wood, Telford, Shropshire",TF2 7BH,370415,312142,52.706127,-2.439297,Telford and Wrekin
433405,The Last Inn,"The Aston Wellington Road, Church Aston, Newport, Shropshire",TF10 9EJ,373761,317441,52.753944,-2.390203,Telford and Wrekin
433413,The Lion Inn,"The Lion Inn Shifnal Road, Priorslee, Telford, Shropshire",TF2 9NN,371128,309454,52.682011,-2.428524,Telford and Wrekin
433414,The Liquor Lab,"Unit 4a, Southwater Square Southwater Way, Telford Town Centre, Telford, Shropshire",TF3 4JG,369852,308613,52.674382,-2.447314,Telford and Wrekin
433421,The Mallard,"The Mallard Brookside Avenue, Brookside, Telford, Shropshire",TF3 1LE,370619,306014,52.651052,-2.43573,Telford and Wrekin
433422,The Malthouse,"The Malthouse The Wharfage, Ironbridge, Telford, Shropshire",TF8 7NH,366896,303631,52.629406,-2.490533,Telford and Wrekin
433425,The Miners Arms,"The Miners Arms Prince Street, Madeley, Telford, Shropshire",TF7 4DY,370169,304640,52.638667,-2.442257,Telford and Wrekin
433430,The New Cottage Springs,"39 Church Street, St Georges, Telford, Shropshire",TF2 9JY,370761,310896,52.694945,-2.434066,Telford and Wrekin
433432,The Oddfellows Arms,"65 High Street, Wellington, Telford, Shropshire",TF1 1JT,365442,311375,52.69894,-2.512816,Telford and Wrekin
433441,The Pheasant Inn,"Pheasant Inn Shawbirch Road, Admaston, Telford, Shropshire",TF5 0AD,363512,313083,52.714164,-2.541563,Telford and Wrekin
433443,The Pheasant Inn,"The Pheasant Inn, 54 Market Street, Wellington, Telford, Shropshire",TF1 1DT,364904,311590,52.700845,-2.520798,Telford and Wrekin
433445,The Place Bar,"The Place Limes Walk, Oakengates, Telford, Shropshire",TF2 6EP,369624,310981,52.695647,-2.450896,Telford and Wrekin
433449,The Queens Head,"The Queens Head King Street, Dawley, Telford, Shropshire",TF4 2AA,368539,307535,52.66461,-2.466619,Telford and Wrekin
433450,The Raven (Rasputins),"The Raven Public House, 3 Walker Street, Wellington, Telford, Shropshire",TF1 1BD,365062,311505,52.700091,-2.518446,Telford and Wrekin
433455,The Shakespeare Inn,"66 Upper Bar, Newport, Shropshire",TF10 7AW,374659,318839,52.766554,-2.377022,Telford and Wrekin
433461,The Snuggery Tap,"6, Baddeley Court High Street, Newport, Shropshire",TF10 7AD,374635,318915,52.767228,-2.377369,Telford and Wrekin
433466,The Sutherland Arms,"Sutherland Arms, Tibberton, Newport, Shropshire",TF10 8NN,368242,320215,52.778576,-2.472242,Telford and Wrekin
433468,The Swan Inn,"4 Lower Bar, Newport, Shropshire",TF10 7BQ,374365,319326,52.770909,-2.381403,Telford and Wrekin
433469,The Swan Taphouse,"21 The Wharfage, Ironbridge, Telford, Shropshire",TF8 7NH,366826,303649,52.629572,-2.491558,Telford and Wrekin
433470,The Talbot,"The Talbot Inn, 26 High Street, Dawley, Telford, shropshire",TF4 2EX,368406,307498,52.664267,-2.468582,Telford and Wrekin
433475,The Three Furnaces,"The Three Furnaces Bridgnorth Road, Telford, shropshire",TF7 4JB,370069,305222,52.643902,-2.443787,Telford and Wrekin
433476,The Three Horseshoes,"Three Horse Shoes Inn, Sambrook, Newport, Shropshire",TF10 8AP,371135,324595,52.818113,-2.429744,Telford and Wrekin
433485,The Venue,"The Local Queen Street, Madeley, Telford, Shropshire",TF7 4BL,370370,304444,52.636925,-2.439269,Telford and Wrekin
433491,The White Lion,"The White Lion, 9 Crown Street, Wellington, Telford, Shropshire",TF1 1LP,365062,311549,52.700477,-2.518455,Telford and Wrekin
433496,The Wrekin Giant,"Unit 11, Southwater Square Southwater Way, Telford Town Centre, Telford, Shropshire",TF3 4JG,369801,308477,52.673153,-2.448036,Telford and Wrekin
433497,The Wrekin View,"The Wrekin View Milners Lane, Dawley Bank, Telford, Shropshire",TF4 2JH,368302,308549,52.673709,-2.470222,Telford and Wrekin
433500,Three Crowns Inn,"Three Crowns Inn Hinkshay Road, Dawley, Telford, Shropshire",TF4 3PB,368996,306933,52.659222,-2.459806,Telford and Wrekin
433502,Three Furnaces Inn,"The Three Furnaces Bridgnorth Road, Telford, Shropshire",TF7 4JB,370069,305222,52.643902,-2.443787,Telford and Wrekin
433512,Toby Carvery Telford (Apley Arms),"Apley Arms Shawbirch Road, Shawbirch, Telford, Shropshire",TF1 3QA,364668,313401,52.7171,-2.524486,Telford and Wrekin
433520,Travellers Joy,"Travellers Joy Woodhouse Lane, Horsehay, Telford, Shropshire",TF4 3BJ,367247,307020,52.659901,-2.485671,Telford and Wrekin
433533,Ugly Duckling,"The Ugly Duckling Long Lane, Telford, Shropshire",TF6 6HA,363593,315659,52.737325,-2.540651,Telford and Wrekin
433567,Wheatsheaf Inn,"The Wheatsheaf Inn, Chetwynd Aston, Newport, Shropshire",TF10 9LF,375312,317501,52.754548,-2.367228,Telford and Wrekin
433568,Whispers Venus   Pussycats,"17 Tan Bank, Wellington, Telford, Shropshire",TF1 1HJ,365112,311465,52.699727,-2.517723,Telford and Wrekin
433569,White Hart Inn,"10 The Wharfage, Ironbridge, Telford, Shropshire",TF8 7AW,367076,303518,52.628412,-2.487864,Telford and Wrekin
433570,White Horse,"4 Finger Road, Dawley, Telford, Shropshire",TF4 3JX,368804,306975,52.659589,-2.462648,Telford and Wrekin
433571,White Horse Tavern,"The White Horse Tavern New Road, Wrockwardine Wood, Telford, Shropshire",TF2 7AB,370036,312392,52.708363,-2.444944,Telford and Wrekin
433580,William Withering (J D Weatherspoon Plc),"43A New Street, Wellington, Telford, Shropshire",TF1 1LU,365187,311591,52.700873,-2.516609,Telford and Wrekin
433605,Wrens Nest PH,"The Wrens Nest Wrens Nest Lane, Ketley, Telford, Shropshire",TF1 5HJ,367676,310610,52.692199,-2.479683,Telford and Wrekin
433611,Ye Olde Robin Hood,"33 Waterloo Street, Ironbridge, Telford, Shropshire",TF8 7HQ,368050,303360,52.62706,-2.473445,Telford and Wrekin
433620,(Ring O Bells),"9 John Street, Willenhall, Walsall, West Midlands",WV13 1PW,396546,298498,52.584279,-2.052409,Walsall
433629,442 Bar & Grill,"Khalsa Football Club, Noose Lane, Willenhall, Walsall",WV13 3BB,395824,299404,52.592408,-2.063077,Walsall
433695,Aldridge Conservative & Union Club,"62 Portland Road, Aldridge, Walsall, West Midlands",WS9 8NS,405681,300585,52.603032,-1.917551,Walsall
433699,Aldridge Sailing Club,"Barns Lane, Rushall, Walsall, West Midlands",WS4 1HG,403194,301369,52.610091,-1.954265,Walsall
433701,Aldridge Social Club,"High Street, Aldridge, Walsall, West Midlands",WS9 8NH,406073,300730,52.604331,-1.91176,Walsall
433702,Aldridge Stick And Wicket Club,"The Green, Aldridge, Walsall, West Midlands",WS9 8NH,406073,300730,52.604331,-1.91176,Walsall
433723,Amery Unionist Club,"Coppice Lane, Willenhall, Walsall, West Midlands",WV12 5RY,397296,300992,52.606703,-2.041361,Walsall
433777,Balloons / Shimla Peppers,"91-92 Ablewell Street, Walsall, West Midlands",WS1 2EU,401738,298400,52.583406,-1.975781,Walsall
433785,Bar 10,"10 Wolverhampton Street, Walsall, West Midlands",WS2 8LR,401007,298686,52.585979,-1.986569,Walsall
433786,Bar NV,"49 Bradford Street, Walsall, West Midlands",WS1 3QD,401119,298184,52.581466,-1.984917,Walsall
433808,Beacon Way,"Stoney Lane, Bloxwich, Walsall, West Midlands",WS3 3DW,400821,303171,52.626298,-1.989305,Walsall
433813,Beechdale Social Club,"Stephenson Square, Bloxwich, Walsall, West Midlands",WS2 7DX,399596,300392,52.601307,-2.007397,Walsall
433814,Beeches Club,"Leamore Social And Services Club, Beeches Road, Bloxwich, Walsall",WS3 1HB,400713,300851,52.605442,-1.990904,Walsall
433819,Bell Inn,"1 Bell Lane, Bloxwich, Walsall, West Midlands",WS3 2JN,399785,302517,52.620419,-2.004609,Walsall
433827,Bentley Green Beefeater,"Bentley Green Table Table, Bentley Road North, Bentley, Walsall",WS2 0WB,398334,298248,52.582039,-2.026015,Walsall
433830,Bentley Moor Club,"Bentley Drive, Walsall, West Midlands",WS2 8RU,399993,299177,52.590403,-2.001535,Walsall
433848,Birchills Liberal Club,"Old Birchills, Walsall, West Midlands",WS2 8QD,400553,299419,52.592569,-1.993269,Walsall
433853,Black Cock Inn,"Green Lane, Shelfield, Walsall, West Midlands",WS9 9BE,404300,303658,52.630661,-1.937903,Walsall
433854,Black Country Arms,"The Black Country Arms, High Street, Walsall, West Midlands",WS1 1QW,401524,298389,52.583308,-1.97894,Walsall
433877,Bloxwich Golf Club,"136 Stafford Road, Bloxwich, Walsall, West Midlands",WS3 3PQ,399821,303454,52.628843,-2.004078,Walsall
433880,Bloxwich Memorial Club,"5 Harrison Street, Bloxwich, Walsall, West Midlands",WS3 3HP,399886,302088,52.616563,-2.003117,Walsall
433882,Bloxwich Stafford Road Sports Club,"Bloxwich Stafford Road Sports Club, Stafford Road, Bloxwich, Walsall, West Midlands",WS3 3NJ,399801,302716,52.622208,-2.004373,Walsall
433907,Bradford Arms,"Pleck Road, Walsall, West Midlands",WS2 9HE,399973,297670,52.576846,-2.00183,Walsall
433908,Bradford Arms Public House,"92-94 Milton Street, Walsall, West Midlands",WS1 4LA,400907,297332,52.573807,-1.988048,Walsall
433911,Brew House,"49 Boundary Road, Streetly, Walsall, West Midlands",B74 2JR,407838,297124,52.571881,-1.885785,Walsall
433912,Brewers Fayre,"12 Wolverhampton Street, Walsall, West Midlands",WS2 8LR,400962,298672,52.585863,-1.987233,Walsall
433914,Brickmakers Arms,"Salters Road, Walsall Wood, Walsall, West Midlands",WS9 9JB,405204,303268,52.627138,-1.924553,Walsall
433915,Bridge Bar,"27 Bridge Street, Walsall, West Midlands",WS1 1DP,401392,298552,52.584783,-1.980902,Walsall
433927,Broadway Toby Carvery,"The Broadway, Broadway North, Walsall, West Midlands",WS1 2QA,402739,298170,52.581344,-1.961024,Walsall
433930,Brownhills & Walsall Wood Fellowship,"Beacon Way, Walsall Wood, Walsall, West Midlands",WS9 9HZ,405348,303389,52.628233,-1.922423,Walsall
433956,Butts Tavern,"44 Butts Street, Walsall, West Midlands",WS4 2BJ,401778,299295,52.591461,-1.975186,Walsall
433974,Calderfields Golf and Country Club Ltd,"Calderfields Golf & County Club Ltd, Aldridge Road, Walsall, West Midlands",WS4 2JS,403960,299090,52.589598,-1.942979,Walsall
433977,Caldmore Green Club,"19 West Bromwich Street, Walsall, West Midlands",WS1 4BP,401361,297545,52.57572,-1.981336,Walsall
433995,Cat & Fiddle,"Beacon Road, Great Barr, Walsall, West Midlands",B43 7BY,406081,295675,52.55888,-1.911734,Walsall
434009,Chameleons,"47a Picturedrome Way, Darlaston, Walsall, West Midlands",WS10 8DE,397740,296673,52.567878,-2.034774,Walsall
434062,Colebatch's Club,"Poplar House, 699 Bloxwich Road, Walsall, West Midlands",WS3 2BD,400288,301321,52.609659,-1.99718,Walsall
434065,Colliseum,"17 Newport Street, Walsall, West Midlands",WS1 1RZ,401248,298309,52.582589,-1.983013,Walsall
434114,Cross Keys Inn,"Ashmore Lake Road, Willenhall, Walsall, West Midlands",WV12 4LB,396714,299821,52.596172,-2.049944,Walsall
434116,Crown Inn,"16 Cheapside, Willenhall, Walsall",WV13 1PQ,396468,298399,52.583387,-2.05356,Walsall
434117,Crown Inn,"196 Watling Street, Brownhills, Walsall, West Midlands",WS8 7JU,403294,306518,52.656378,-1.952739,Walsall
434132,Darlaston Community Association  (Sp,"D C A Sports And Social Centre, Hall Street, Darlaston, Walsall",WS10 8NW,396918,297098,52.571703,-2.046906,Walsall
434133,Darlaston Conservative Club,"Little Cross Street, Darlaston, Walsall, West Midlands",WS10 8ET,397550,297075,52.571491,-2.03758,Walsall
434135,Darlaston Sports & Labour Club,"16 The Leys, Darlaston, Walsall, West Midlands",WS10 8DP,397534,296853,52.569504,-2.037815,Walsall
434189,Duke Of Cambridge,"82 Coltham Road, Willenhall, Walsall, West Midlands",WV12 5QD,397746,301026,52.607011,-2.034717,Walsall
434190,Duke Of York,"27 Lumley Road, Walsall, West Midlands",WS1 2LH,402309,298147,52.58113,-1.967356,Walsall
434230,Farmer John's,"Aldridge Road, Streetly, Walsall, West Midlands",B74 2DX,407271,297088,52.571567,-1.894135,Walsall
434251,Flan O' Briens,"100 Ablewell Street, Walsall, West Midlands",WS1 2EU,401738,298400,52.583406,-1.975781,Walsall
434255,Foley Arms,"293 Foley Road West, Streetly, Walsall, West Midlands",B74 3NU,406736,298232,52.581858,-1.90202,Walsall
434296,Gilberts Bar,"54 Field Street, Willenhall, Walsall, West Midlands",WV13 2NY,396090,298523,52.584499,-2.05914,Walsall
434298,Gillity Wines & Spirits,"6 Gillity Avenue, Walsall, West Midlands",WS5 3PJ,402927,297603,52.576236,-1.958254,Walsall
434329,Green Dragon,"55 Church Street, Darlaston, Walsall, West Midlands",WS10 8DY,397752,296804,52.569056,-2.034598,Walsall
434331,Green Rock Tavern,"Green Rock Lane, Bloxwich, Walsall, West Midlands",WS3 1NG,400921,302309,52.618549,-1.987844,Walsall
434333,Greenhouse Club,"Willenhall Road, Darlaston, Walsall, West Midlands",WS10 8JG,397790,297806,52.578073,-2.034044,Walsall
434350,Gunners Club - Bar,"Bloxwich Gunner Club Ltd, Old Lane, Bloxwich, Walsall",WS3 2DD,400097,301500,52.611268,-2,Walsall
434362,Hardwick Arms,"Chester Road, Streetly, Sutton Coldfield",B74 3DX,407747,298666,52.585747,-1.887105,Walsall
434368,Hatherton Arms,"63 Reeves Street, Bloxwich, Walsall, West Midlands",WS3 2DQ,399749,301715,52.61321,-2.00514,Walsall
434376,Herberts Tavern Bar & Grill,"King George V, Forge Road, Darlaston, Walsall",WS10 8QU,397031,296721,52.568314,-2.045236,Walsall
434405,Horse & Jockey,"33 Walsall Road, Darlaston, Walsall, West Midlands",WS10 9JS,397995,296681,52.567951,-2.031012,Walsall
434406,Horse and Jockey,"146 Walsall Road, Walsall Wood, Walsall, West Midlands",WS9 9AJ,404241,302752,52.622507,-1.938786,Walsall
434411,Hungry Horse (Hussey Arms),"Chester Road North, Brownhills, Walsall, West Midlands",WS8 7JP,404209,305984,52.651571,-1.939218,Walsall
434439,J Ds Snooker And Pool Club,"Somerford Place, Willenhall, Walsall, West Midlands",WV13 3DZ,395716,298345,52.582896,-2.064672,Walsall
434447,James Bridge Copper Social Club,"Reservoir Place, Walsall, West Midlands",WS2 9RX,399611,297681,52.576945,-2.007172,Walsall
434462,Jiggers Whistle,"5-7 High Street, Brownhills, Walsall, West Midlands",WS8 6ED,404526,305619,52.648285,-1.93453,Walsall
434471,Jolly Collier,"112 Lucknow Road, Willenhall, Walsall, West Midlands",WV12 4QG,397028,300449,52.60182,-2.045314,Walsall
434475,Jubilee House (Pub),"Entrance off Sandbeds Road, Spring Lane, Willenhall, Walsall",WV12 4HB,397205,299823,52.596193,-2.042695,Walsall
434503,Keymaster,"The keymaster, Wolverhampton Road West, Willenhall, Walsall",WV13 2RN,397754,298815,52.587143,-2.034582,Walsall
434514,Killock,"The Killock, Longwood Lane, Walsall, West Midlands",WS4 2JS,403960,299090,52.589597,-1.942979,Walsall
434520,King George V,"Forge Road, Darlaston, Walsall, West Midlands",WS10 8QU,397030,296722,52.568324,-2.04525,Walsall
434522,Kings Head,"Ingram Road, Bloxwich, Walsall, West Midlands",WS3 1LU,400787,301999,52.615762,-1.989809,Walsall
434621,London Midland Railway Clubs Association (Walsall Branch) We,"Walsall, West Midlands",WS1 4JG,400534,297359,52.57405,-1.993551,Walsall
434638,Lyndon House Hotel,"9-10 Upper Rushall Street, Walsall, West Midlands",WS1 2HA,401695,298417,52.583559,-1.976416,Walsall
434649,Magic Lantern,"Bloxwich Lane, Walsall, West Midlands",WS2 7JW,399141,300178,52.599392,-2.014115,Walsall
434652,Makoto,"Unit 3, Bridge House, 47-55 Bridge Street, Walsall, West Midlands",WS1 1JQ,401542,298585,52.585071,-1.978676,Walsall
434657,Manhattans,"133 Lichfield Street, Walsall, West Midlands",WS1 1SL,401572,298713,52.58622,-1.978244,Walsall
434663,Manor Arms,"Park Road, Rushall, Walsall, West Midlands",WS4 1LG,403231,300473,52.602036,-1.953727,Walsall
434715,Midlands Snooker Academy,"77 Bridge Street, Walsall, West Midlands",WS1 1JQ,401599,298551,52.584773,-1.977832,Walsall
434761,Nags Head,"109 The Green, Darlaston, Walsall, West Midlands",WS10 8JP,397806,297532,52.575601,-2.033806,Walsall
434767,Navigation Inn,"39 Fibbersley, Willenhall, Walsall",WV11 3SU,395859,299815,52.596112,-2.062566,Walsall
434776,New Inn,"New Inns, Blue Lane West, Walsall, West Midlands",WS2 8NU,400793,298936,52.588234,-1.989727,Walsall
434779,New Navigation Inn,"109 Old Birchills, Walsall, West Midlands",WS2 8QH,400401,299258,52.591131,-1.995513,Walsall
434818,Ogley Hay Working Mens Club,"115 Ogley Road, Brownhills, Walsall, West Midlands",WS8 6AN,405239,305710,52.649099,-1.923997,Walsall
434822,Old House at Home,"Norton Road, Pelsall, Walsall, West Midlands",WS3 4NT,402282,303887,52.632731,-1.967716,Walsall
434830,One Man & His Dog,"One Man And His Dog, Turnberry Road, Bloxwich, Walsall",WS3 3UB,399203,303542,52.629633,-2.013209,Walsall
434882,Pelsall Cricket And Sports Club,"Walsall Road, Pelsall, Walsall, West Midlands",WS3 4BP,402301,302715,52.622186,-1.967443,Walsall
434889,Pelsall Social Club And Institute,"121 Norton Road, Pelsall, Walsall, West Midlands",WS3 4NX,402266,304012,52.633846,-1.967952,Walsall
434940,Plough & Harrow,"770 Chester Road, Aldridge, Walsall, West Midlands",WS9 0LS,407716,302051,52.616169,-1.88747,Walsall
434942,Poets Corner,"51 Keats Road, Willenhall, Walsall, West Midlands",WV12 5HY,398107,301413,52.610491,-2.029388,Walsall
434944,Pool Hayes PH,"Pool Hayes Lane, Willenhall, Walsall, West Midlands",WV12 4PX,396780,300236,52.599895,-2.048973,Walsall
434970,Prince of Wales,"145 High Street, Bloxwich, Walsall, West Midlands",WS3 3LE,399781,302059,52.616302,-2.004668,Walsall
434971,Prince Of Wales,"55 Walsall Street, Willenhall, Walsall, West Midlands",WV13 2DU,396766,298600,52.585196,-2.049163,Walsall
434972,Prince Of Wales,"98 Watling Street, Brownhills, Walsall, West Midlands",WS8 7NP,404454,306523,52.656415,-1.93559,Walsall
434980,Q Bar,"146 Walsall Road, Walsall Wood, Walsall, West Midlands",WS9 9AJ,404241,302752,52.622507,-1.938786,Walsall
434985,Queens Head,"Church Street, Bloxwich, Walsall, West Midlands",WS3 3HE,399892,301931,52.615151,-2.003028,Walsall
434999,Railway,"Bloxwich Road, Walsall, West Midlands",WS3 2UY,400692,300733,52.604382,-1.991215,Walsall
435000,Railway Inn,"442 Victoria Road, Pelsall, Walsall, West Midlands",WS3 4BH,402447,303075,52.625431,-1.965285,Walsall
435010,Red Lion,"69 Park Street, Walsall, West Midlands",WS1 1NW,401127,298631,52.585493,-1.984798,Walsall
435011,Red Lion,"Moxley Road, Moxley, Walsall, West Midlands",WS10 7RL,396968,295952,52.561392,-2.046157,Walsall
435027,Robin Hood,"54 The Crescent, Willenhall, Walsall, West Midlands",WV13 2QR,397426,298427,52.583645,-2.039421,Walsall
435029,Rock Steady Eddies,"184-185 Stafford Street, Walsall, West Midlands",WS2 8EA,401072,299398,52.59238,-1.985608,Walsall
435035,Rose & Crown,"Old Birchills, Walsall, West Midlands",WS2 8QH,400401,299258,52.591131,-1.995513,Walsall
435046,Royal George,"5 New Road, Willenhall, Walsall, West Midlands",WV13 2AQ,396453,298388,52.583288,-2.053781,Walsall
435063,Rushall Labour Club,"Liberty House, Lichfield Road, Rushall, Walsall",WS4 1HB,402825,301130,52.607944,-1.959716,Walsall
435064,Rushall Olympic Football Club,"Dales Lane, Rushall, Walsall, West Midlands",WS9 0JX,404104,300157,52.599189,-1.940841,Walsall
435075,Saddlers Arms,"Fishley Lane, Bloxwich, Walsall, West Midlands",WS3 3PS,400531,303389,52.628258,-1.993603,Walsall
435083,Samras,"24 Caldmore Green, Walsall, West Midlands",WS1 3RN,401249,297598,52.576198,-1.983001,Walsall
435087,Sankey Working Mens Club,"166 Lichfield Road, Brownhills, Walsall, West Midlands",WS8 6JB,405205,305859,52.650442,-1.924498,Walsall
435127,Shire Oak Public House,"Shire Oak, Lichfield Road, Brownhills, Walsall",WS9 9PB,405591,304144,52.635017,-1.918821,Walsall
435133,Short Heath Liberal Club,"Bloxwich Road North, Willenhall, Walsall, West Midlands",WV12 5PG,397726,300636,52.603495,-2.035009,Walsall
435135,Short Heath Royal British Legion Clu,"Short Heath Rbl Club, Church Road, Willenhall, Walsall",WV12 5PT,397701,300824,52.605185,-2.03538,Walsall
435136,Shoulder Of Mutton,"15 Church Road, Brownhills, Walsall, West Midlands",WS8 6AA,404666,305523,52.647415,-1.932455,Walsall
435151,Sir Charles Napier,"153 Milton Street, Walsall, West Midlands",WS1 4LW,400791,297126,52.571955,-1.98976,Walsall
435152,Sir Robert Peel,"104 Bell Lane, Bloxwich, Walsall",WS3 2JS,399389,302541,52.620631,-2.010458,Walsall
435162,Smithys Forge,"Lichfield Road, Brownhills, Walsall, West Midlands",WS8 6HR,404719,305740,52.649365,-1.931683,Walsall
435180,Spring Cottage,"Holtshill Lane, Walsall, West Midlands",WS1 2JA,401860,298585,52.585068,-1.97399,Walsall
